,data_point_id,annotator_id,label,original_text,category
179,179,NA,NA,"['Any changes in the terms of the Bona Fide Offer as well as  any  subsequent  Bona  Fide  Offer  received by Affiliate shall require full compliance  by  Affiliate  with  the  procedures  in  this  Section.', 'Network  1  shall  have the exclusive right of first refusal to purchase all  or  any part of the revenue due Affiliate or acquire Affiliate (as the case may  be)  on the same terms and conditions as the Bona Fide Offer.', 'If during the term of this Agreement for any renewal of this Agreement (the ""Right of First Refusal Period""), Affiliate shall receive (i) any Bona Fide Offer to purchase the revenue due Affiliate under this Agreement  or  Affiliate\'s company through an asset purchase or merger (in which case  Network  1  shall be subordinate to the Checkfree first refusal right), or (ii) a Bona Fide Offer to acquire or merge with or into Affiliate (in which case Network  1 shall be subordinate to the Checkfree first refusal right), Affiliate shall  immediately  give written notice (the ""Offer Notice"") to Network 1 of the terms  and  conditions  of the Bona Fide Offer, including without limitation the price.', 'If Network 1 desires to exercise its rights under this Section it will give written notice to Affiliate  within  15  business  days  of  receipt of the Offer.']",Rofr/Rofo/Rofn
180,180,NA,NA,"[""IntriCon must make all such records available for inspection, copying and audit by an independent auditor appointed by Dynamic  Hearing (and to which IntriCon has no reasonable objection) during ordinary business hours at any time during the Term and for a period of one  year following the expiration or earlier termination of this Agreement, provided that:<omitted>such audit must be at Dynamic Hearing's expense unless the auditor finds an underpayment royalty due under this  Agreement in excess of 5% in which case IntriCon must reimburse Dynamic Hearing's reasonable cost of such audit;""]",Audit Rights
181,181,NA,NA,"[""[***], Valeant hereby grants to Dova a fully paid-up, royalty free, non-transferable, non- exclusive license (with a limited right to sub-license to its Affiliates) to any Valeant Property that appears on, embodied on or contained in the Product materials or Product Labeling solely for use in connection with Dova's promotion or other commercialization of the Product in the Territory."", ""Except to Affiliates of Valeant, Valeant's rights and obligations under this Section 2.1 are non-transferable, non-assignable, and non-delegable.""]",Non-Transferable License
182,182,NA,NA,"[""In no event (including, but not limited to, Manning's or Pey Dirt's default hereunder) shall Manning or Pey Dirt be liable to Company (or any entity claiming through Company) for any amount in excess of the amounts of royalties actually received by Pey Dirt hereunder, excluding the reimbursement of expenses."", 'Under no circumstances will Manning or Pey Dirt, on the one hand, or Company, on the other hand, be liable to the other or any other entity for any special, consequential, indirect, exemplary and/or punitive damages, or for loss of good will or business profits.']",Cap On Liability
183,183,NA,NA,"['Until one (1) year after the expiration of the Profit Participation of each Project, the books and records will be available for inspection by a certified accounting firm or CPA once per year upon reasonable advance notice.']",Audit Rights
184,184,NA,NA,"['Further, during the Term, except as otherwise provided herein, neither T&B nor any of its Affiliates may (1) offer to sell or sell any product or service that is the same or similar to the Products in the Exclusive Field of Use,<omitted>provided, however, that T&B, in its sole and absolute discretion, shall have the right to terminate this Agreement, including all rights and licenses granted to LEA herein, if and as of the date that any monthly Royalty Payment (as defined in 9.3, below) payable to T&B does not exceed the Minimum Guaranteed Royalty for six (6) consecutive months.']",Non-Compete
185,185,NA,NA,"['Notwithstanding the foregoing, in the event that the applicable Party decides not to file at all or not to file a continuing or other   application to maintain the viability of the U.S part of a family of patents to which an application belongs, or decides to abandon or   discontinue the prosecution or maintenance of any of the Joint IP Rights, such Party shall notify the other Party thereof, and such   other Party may elect to continue the prosecution (including non-provisional application and PCT entry) or maintenance of such   Joint IP Rights at its sole expense and in the name(s) of both Stryker and Conformis']",Rofr/Rofo/Rofn
186,186,NA,NA,['HEMISPHERX will have the option at any time to buy out this Agreement.'],Liquidated Damages
187,187,NA,NA,"[""IN NO ONE EVENT SHALL EITHER PARTY'S AGGREGATE LIABILITY FOR DAMAGES OR LOSSES UNDER THIS AGREEMENT EXCEED THE AGGREGATE AMOUNT OF THE PRODUCT PRICES PAID BY BELLICUM FOR THE MILTENYI PRODUCT(S) DURING THE TWELVE (12) MONTH PERIOD IMMEDIATELY PRECEDING THE EVENT GIVING RISE TO SUCH LIABILITY; AND FURTHER PROVIDED THAT SUCH AGGREGATE LIABILITY DURING SUCH PERIOD ALSO SHALL NOT EXCEED THE AMOUNT OF SUCH PARTY'S INSURANCE COVERAGE FOR SUCH AGGREGATE LIABILITY."", ""Except for liability for (i) breach of the confidentiality obligations described in Article 14, (ii) misappropriation or infringement by a Party of the other Party's Intellectual Property Rights, or (iii) gross negligence or willful misconduct:\n\n(a) IN NO EVENT SHALL A PARTY BE LIABLE FOR ANY PUNITIVE, EXEMPLARY, INDIRECT, INCIDENTAL, SPECIAL, OR CONSEQUENTIAL DAMAGES OR EXPENSES, INCLUDING LOSS OF PROFITS, REVENUE, DATA, OR USE, WHETHER IN AN ACTION IN CONTRACT OR TORT (INCLUDING ERRORS OR OMISSIONS OR BREACH OF WARRANTY), EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES;""]",Uncapped Liability
188,188,NA,NA,"['Licensor may terminate this Agreement:\n\n    (1)   Upon ninety (90) days prior written notice if Licensee does not enter            into Sublicenses and other agreements relating to the Licensed            Products with Redistributors and Customers that result in fees payable           to Licensor hereunder in an aggregate amount equal to or greater than            the Quota Amount for any year during the term hereof.  As used herein,           the term ""Quota Amount"" means $50,000 for each of the first and second           years of the original term of this Agreement and an amount agreed to            in writing by the parties hereto in respect of any subsequent one year           renewal term (provided that such amount equals or exceeds $50,000).             If Licensor fails to deliver notice of termination pursuant to this            subsection 14.2(b)(1) within six (6) months after the end of the term           to which such termination relates, Licensor will be deemed to have            waived such termination right in respect of such term (but not in            respect of subsequent terms);']",Minimum Commitment
189,189,NA,NA,"[""if this Agreement is terminated for any reason, Developer shall have the option, but not the obligation to<omitted>assume at no cost to Developer, any or all of Distributor's third party agreements (including End-User Agreements) relating to the Products and to receive any and all fees therefrom.""]",Rofr/Rofo/Rofn
190,190,NA,NA,"[""Such reserved non-exclusive license shall be solely for use by the Company and its Affiliates and shall not be transferable to any Third Party, except in connection with a merger, consolidation, or the sale or transfer of substantially all of the Company's assets associated with the performance of this IP Agreement."", ""Such rights to Joint Improvements shall be solely for use by the Company and shall not be transferable to any Third Party except in connection with a merger, consolidation, or the sale or transfer of substantially all of Company's assets associated with performance under this IP Agreement."", ""Such rights to Investor Improvements shall be solely for use by the Company and its Affiliates and shall not be transferable to any Third Party, except in connection with a merger, consolidation, or the sale or transfer of substantially all of Company's assets associated with performance under this IP Agreement."", 'The non- exclusive rights granted to Investor under this Article 3.02 do not include the right to grant sublicenses to Third Parties.']",Non-Transferable License
